FAC_CODE,FAC_NAME,FAC_DESCRIPTION,DIGEST Status,Change History,Cat_Ix,SCat_Ix,Source of Proposed Change,Report Number,Date of last change,Comments
"AQ068","Drop Gate/Rolling Block","A massive assemblage of material, usually in the form of concrete logs or blocks, positioned alongside or above a transportation route, ready to be activated as a potential barrier to an advancing enemy ground force, when needed.",0,,"A","AQ","US","2.0A","04/02/98 00:00:00","Approved by FACC WP Dec 1997."
"AQ070","Ferry Crossing ","A route in a body of water where a ferry crosses from one shoreline to another.",0,,"A","AQ",,"2.0",,"
"
"AQ080","US-Ferry Site  UK-Ferry Station","A point where a ferry takes on or discharges its load.",0,,"A","AQ",,"2.0",,"
"
"AQ090","Entrance/Exit","A point of entrance or exit.  (See also AA010 and AQ130)",0,,"A","AQ",,"2.0",,"
"
"AQ100","US-Landmark Post/Distance Post  UK-Landmark Post/Distance Post/Milestone","A marker which designates the distance from a given point, or a location.",0,,"A","AQ",,"2.0",,"
"
"AQ110","Mooring Mast ","A tower-like structure used to secure an airship.",0,,"A","AQ",,"2.0",,"
"
"AQ111","Prepared Raft or Float Bridge Site","Site on a river or canal which has a ramp, piling, and/or pier structures constructed on one or both shores to allow for suitable future crossing operations using float bridge or rafting equipment.",0,,"A","AQ","WP","2.0A","06/24/98 00:00:00","Add 'a' before 'ramp'.  Buckley NIMA/SES
"
"AQ113","Pipeline/Pipe","A tube for the conveyance of solids, liquids or gases.",0,,"A","AQ",,"2.0",,"
"
"AQ116","Pumping Station ","A facility to move solids, liquids or gases by means of pressure or suction.",0,,"A","AQ",,"2.0",,"
"
"AQ118","US-Sharp Curve(s)  UK-Sharp Bend(s)","A curve which may cause transportation restrictions.",0,,"A","AQ",,"2.0",,"
"
"AQ119","Route Marker","An emblem used to designate a road's name or identifying number.",0,,"A","AQ","US","2.0A","04/02/98 00:00:00","Approved by FACC WP Dec 1997."
"AQ120","Steep Grade  ","Location along any given traveled way where the percent (%) slope (ratio of change in elevation (vertical distance) to horizontal ground distance multiplied by 100) is high enough to slow, hinder, or even stop movement.",0,,"A","AQ","DE","2.0A",,"
"
"AQ125","Station (Miscellaneous) ","A stopping place for the transfer of passengers and/or freight.",0,,"A","AQ",,"2.0",,"
"
"BA020","Foreshore","That part of the shore or beach which lies between the low water mark and the coastline/shoreline.  The same condition may exist in non-contiguous off-shore areas.  (See also BA021, BA022, and BA023)",0,,"B","BA","WP","2.0A",,"Added references to new Features.
"
"BA021","Nearshore (Precise IHO)","Area between the 10 meter depth curve and the low water line defined by either Mean Low Water Springs (MLWS) or Mean Low Low Water (MLLW) as defined by the National Authority.  (See also BA020, BA022, and BA023)",0,,"B","BA","US","2.0A","04/02/98 00:00:00","Bring FACC into compliance with IHO definitions for Vertical Datums.
Approved by FACC WP Dec 1997."
"BA022","Backshore (Precise IHO)","Area between the normal limit of wave action above either Mean High Water Springs (MHWS) or Mean High High Water (MHHW) as defined by the National Authority and the maximum limit of wave action.  (See also BA020, BA021, and BA023)",0,,"B","BA","US","2.0A","04/02/98 00:00:00","Bring FACC into compliance with IHO definitions for Vertical Datums.
Approved by FACC WP Dec 1997."
"BA023","Foreshore (Precise IHO)","Area between the low water line defined by Mean Low Water Springs (MLWS) or Mean Low Low Water (MLLW) as appropriate and the normal limit of wave action above Mean High Water Springs (MHWS) or Mean High High Water (MHHW) as appropriate.  (See also BA020, BA021, and BA022)",0,,"B","BA","US","2.0A","04/02/98 00:00:00","Bring FACC into compliance with IHO definitions for Vertical Datums.  Also is required for terrain analysis and DTOP.
Approved by FACC WP Dec 1997."
"BA024","Shoreline","A line drawn along the normal limit of wave action above either Mean High Water Springs (MHWS) or Mean High High Water (MHHW) as defined by the National Authority.",0,"Version 2.1: New Feature to breakout BA010 Coastline/Shoreline.","B","BA","US","2.1","03/06/00 00:00:00","New Feature to breakout BA010 Coastline/Shoreline."
"BA030","Island","A land mass smaller than a continent and surrounded by water.",0,,"B","BA","DE","2.0A",,"
"
"BA040","Water (Except Inland)","An area of water which normally has tidal fluctuations.",0,,"B","BA",,"2.0",,"
"
"BA050","Beach","The shore of the sea or lake, sandy or pebbly, brought up by the waves (including the foreshore area).  (See also BA020, BA021, BA022 and BA023)",0,"Version 2.0 Amendment 1: Added cross references to BA021 and BA023.","B","BA","US","2.0A","05/20/99 00:00:00","Add references to BA021-BA023.
UK:  This is already in 2.0A  YES …..but…..

US: This feature was included in the list of proposed features by error.  It is not being proposed for modification."
"BA051","Dyke Crown","A dyke (or dike) is an artificial embankment to contain or hold back water.  The dyke crown is the topline of the dyke.  (See also DB090)",0,,"B","BA","WP","2.0A",,"Capitalization
"
"BB005","US-Harbor  UK-Harbour","A natural or artificial improved body of water providing protection for vessels and anchorage and docking facilities.",0,,"B","BB",,"2.0",,"
"
"BB006","US-Harbor Complex   UK-Harbour Complex","Complex feature with possible components:  many simple features, and complex features  BB011, BC099, BC098.",0,,"B","BB",,"2.0",,"
"
"BB007","Channel Edge","Complex feature with possible components: BC099, BC098.",0,,"B","BB",,"2.0",,"
"
"BB010","Anchorage","An area of water where vessels anchor or may anchor.",0,,"B","BB",,"2.0",,"
"
"BB011","Anchorage (Complex Feature)","Complex feature with possible components: BB010,  BC099, BC098.",0,,"B","BB","US","2.0A","09/17/98 00:00:00","New change - add phrase ""(Complex Feature)"" to name so that the name will be different from BB010 Anchorage.  Making all names unique will greatly ease the maintenance and validation of the FACC database.
(Previous modification approved by WP at June 1998 meeting: Remove nonexistent feature BB061 reference)."
"BB012","Anchor Berth","A designated area of water where a single vessel, sea plane, oil rig, etc. is anchored or may anchor.",0,,"B","BB",,"2.0",,"
"
"BB019","Anchor","Device normally placed on the sea bottom and attached to a cable or rope used to position a vessel, boat, or any other floating structure.",0,"Version 2.0 Amendment 1: Replaced old definition of  ""An anchor is a heavy forging usually comprising a shank with a large shackle or ring at one end and two arms, with palms at the other.  Shaped as to grip the sea bottom, and by means of a cable or rope, it holds a vessel, boat, or any other floating structure in place.""","B","BB","IT","2.0A","06/24/98 00:00:00","Replace ""An anchor is a heavy forging usually comprising a shank with a large shackle or ring at one end and two arms, with palms at the other.  Shaped as to grip the sea bottom, and by means of a cable or rope, it holds a vessel, boat, or any other floating structure in place."" with ""Device normally placed on the sea bottom and attached to a cable or rope used to position a vessel, boat, or any other floating structure.""  This is to make the definition S-57 compliant.
US agrees with this proposal.  If rejected, then US recommends the addition of BB018."
"BB020","Berth ","The place where a ship lies when secured to a pier, wharf, dolphin(s) or dock.  It may be a designated place away from the coast line.",0,,"B","BB",,"2.0",,"
"
"BB021","Mooring Trot","Complex feature with possible components: BB019, BC098.",0,,"B","BB",,"2.0",,"
"
"BB022","Basin","An enclosure containing water for a dock for ships.",0,,"B","BB",,"2.0",,"
"
"BB030","Bollard","A post on a wharf used for fastening mooring lines.",0,,"B","BB",,"2.0",,"
"
"BB040","Breakwater/Groyne","A structure which protects a harbor or beach from forces of the sea.  (See also BB140)",0,,"B","BB",,"2.0",,"
"
"BB041","Breakwater","A structure which protects a shore area, harbor, anchorage, or basin from sea waves or swells by preventing them from reaching the protected area or reducing their magnitude.  (See also BB140 and BB042)",0,,"B","BB","US","2.0A","06/24/98 00:00:00","Breakout of the Breakwater/Groin dual feature (BB040) into two features Breakwater (BB041) and Groin (BB043) to match the similar features Mole (BB042) and Jetty (BB140) which have already been broken out.  This is also partly in response to the addition or modification required for mapping IHO S-57 to FACC.
Definition needs to be massaged to differentiate a groin from a breakwater. BE 
Agree Buckley US
Groins are normally constructed perpendicular to a beach, not a harbor or anchorage. They are intended to preserve the beach by preventing the longshore movement of sediments by disrupting the longshore transport mechanisms.  
A breakwater normally is constructed parallel to or at a low angle to the coastline and is intended to protect a harbor or anchorage from waves, wind, and high seas.  Effects on sediment transport are only an incidental side effect which may or may not be deliberate.  Buckley US
IT concurs, keep BB040 for backward compatibility."
"BB042","Mole","A loading and discharge place for vessels.  It is usually a substantial masonry structure, and often serves as a breakwater on its outer side while offering facilities for ships in its inner side.",0,,"B","BB",,"2.0",,"
"
"BB043","Groin","A structure which normally projects outward from a shoreline and which protects a beach from erosion by disrupting  the longshore movement of sand and other sediments, not by preventing waves from reaching the shoreline.  (See also BB140 and BB041)",0,,"B","BB","US","2.0A","06/24/98 00:00:00","Breakout of the Breakwater/Groin dual feature (BB040) into two features Breakwater (BB041) and Groin (BB043) to match the similar features Mole (BB042) and Jetty (BB140) which have already been broken out.  This is also partly in response to the addition or modification required for mapping IHO S-57 to FACC.
Definition needs to be massaged to differentiate a groin from a breakwater. BE 
Agree Buckley US
Groins are normally constructed perpendicular to a beach, not a harbor or anchorage. They are intended to preserve the beach by preventing the longshore movement of sediments by disrupting the longshore transport mechanisms.  
IT concurs, keep BB040 for backward compatibility.
A breakwater normally is constructed parallel to or at a low angle to the coastline and is intended to protect a harbor or anchorage from waves, wind, and high seas.  Effects on sediment transport are only an incidental side effect which may or may not be deliberate.  Buckley US"
"BB050","Calling-In Point ","A specified point some distance from the harbor at which a vessel's navigator notifies the harbor authority of his ship's position.  (Note that this is not the same as GA055 which is for aircraft only).",0,"Version 2.1: Removed feature name of GA055 from note for consistency with other entries.","B","BB","WP","2.1",,"Editorial"
"BB079","Mooring/Warping Facility","A structure used for mooring/warping a ship or as protection for harbor constructions.",0,,"B","BB",,"2.0",,"
"
"BB080","Dolphin ","A post or group of posts used for mooring, warping a ship or as an aid to navigation.",0,,"B","BB",,"2.0",,"
"
"BB081","Shoreline Construction","A fixed (not afloat) artificial structure attached to the land. Shoreline constructions are normally used for berthing and protection.",0,,"B","BB",,"2.0",,"
"
"BB090","US-Drydock  UK-Dry Dock","A structure, providing support for a vessel, which has a means of removing water so that the bottom of the vessel can be exposed.",0,,"B","BB",,"2.0",,"
"
"BB100","US-Fish Stakes  UK-Fishing Stakes","Poles or stakes placed in shallow water to catch fish.",0,,"B","BB",,"2.0",,"
"
"BB105","US-Fishing Harbor  UK-Fishing Harbour","A harbor which is primarily used by fishing vessels.",0,,"B","BB",,"2.0",,"
"
"BB110","Fish Traps/Fish Weirs","A fence or enclosure set in water to catch fish.",0,,"B","BB",,"2.0",,"
"
"BB111","Tunny (Tuna) Nets Area","An area where nets used for catching tunny (tuna) may be found.",0,,"B","BB",,"2.0",,"
"
"BB115","US-Gridiron  UK-Gridiron/Careening Grid","A flat frame, usually of parallel timber baulks, erected on the foreshore so that a vessel may dry out on it for painting or repair at low water.",0,,"B","BB",,"2.0",,"
"
"BB140","US-Jetty  UK-Training Wall","A man-made barrier built out into, or in the water, primarily to restrain or direct currents and waves.  (See also AQ030 and BB040)",0,,"B","BB","WP","2.0A",,"Grammar change primary to primarily.
"
"BB150","Landing Place ","A place on shore where landing from the sea is possible.",0,,"B","BB",,"2.0",,"
"
"BB151","Landing Stairs ","Steps at the shoreline as the connection between land and water on different levels.",0,,"B","BB",,"2.0",,"
"
"BB155","Maritime Station/Maritime Signal Station","A facility occupied by a governmental (maritime related) or harbor authority, providing specific services to vessels.  A signal station is a structure (building, tower, mast, etc.), which conveys information visually from station to ship.",0,,"B","BB","US","2.0A","04/02/98 00:00:00","Approved by FACC WP Dec 1997."
"BB160","Mooring Ring","A metal ring attached to a structure and used to secure a vessel.",0,,"B","BB",,"2.0",,"
"
"BB170","US-Offshore Loading Facility  UK-Single Point Mooring","A facility located offshore for loading and unloading cargo.",0,,"B","BB",,"2.0",,"
"
"BB180","Oyster Bed/Mussel Bed","A place in shallow water where oysters and mussels breed and may be cultivated.",0,,"B","BB",,"2.0",,"
"
"BB190","US-Pier/Wharf/Quay  UK-Pier/Wharf/Quay/Jetty","A structure primarily used as berthing places for vessels.",0,,"B","BB",,"2.0",,"
"
"BB198","Fender","A protective structure designed to cushion the impact of a vessel and prevent damage.",0,,"B","BB","WP","2.0A","04/02/98 00:00:00","Addition or modification required for mapping IHO S-57 to FACC.
"
"BB199","Floating Dock","A dock which normally consists of a bottom pontoon, on which a ship can be lifted out of the water, and two side walls to give stability to the bottom pontoon.",0,,"B","BB",,"2.0",,"
"
"BB200","Pump Out Facility","A place on land to where ships can pump waste liquids.",0,,"B","BB",,"2.0",,"
"
"BB201","Small Craft Facility","An installation with a certain function or service generally of interest for small craft or pleasure boats.",0,,"B","BB",,"2.0",,"
"
"BB202","Ice Boom","Floating barriers, anchored to the bottom, used to deflect the path of floating ice in order to prevent the obstruction of locks, intakes, etc., and to prevent damage to bridge piers and other structures.",0,,"B","BB","WP","2.0A","04/02/98 00:00:00","Addition or modification required for mapping IHO S-57 to FACC..
"
"BB220","Ramp (Maritime) ","A partially submerged hard surfaced area on a shoreline for launching and retrieving vessels or vehicles.",0,,"B","BB",,"2.0",,"
"
"BB221","Log Ramp","An inclined plane used to dump logs into the water for transport, or to haul logs out of the water for processing.",0,"Version 2.1: New Feature to permit mapping of S-57 attribute value CATSLC 017 to FACC.","B","BB","US","2.1","05/20/99 00:00:00","To permit mapping of new S-57 attribute value CATSLC 017.
UK:  Please confirm that the ramp is specifically only ever used for the stated purpose. YES …..but…..
GE:  YES  Another possibility : AL195 Ramp + attribute USE...(i.e. less new features and more attributes).
US:  This is a newly proposed addition to S-57 for Edition 3.1 with the above definition.  It will only be collected and populated in the future and I assume as specified.  I would prefer to handle it at the feature level to preclude attribute collisions.
IT:  ???   Preferable use of AL195 + Attribute USE. Need further discussion."
"BB225","Rip Rap","A loose assemblage of broken stones or similar material erected in water or on soft ground as a foundation or to protect the underlying surface from erosion.",0,,"B","BB","WP","2.0A","04/02/98 00:00:00","Approved by FACC WP Dec 1997."
"BB226","Revetment (Shore Protection)","Facing of stone or other material  placed along the edge of a stream, river or canal to stabilize the bank and to protect it from the erosive action of the stream.",0,,"B","BB","WP","2.0A","04/02/98 00:00:00","There is a requirement for the  DNC to distinguish between  revetments which are shoreline protection and revetments which are protection for buildings, airplanes, etc.  Required also for terrain analysis.  The implementation of Revetment (BB226)  in the DNC will be similar to the use of the new feature Rip-Rap (BB225).
"
"BB230","Seawall ","A structure built to protect the shore from erosion.",0,,"B","BB",,"2.0",,"
"
"BB240","Slipway/Patent Slip","A prepared slope for launching and recovering vessels.",0,,"B","BB","WP","2.0A","06/24/98 00:00:00","Remove reference to BL195 - it doesn't exist.  Buckley NIMA/SES
"
"BB250","Watering Place","A place where vessels can replenish their water supply.",0,,"B","BB",,"2.0",,"
"
"BC010","Beacon ","A fixed visual or electronic aid to navigation.",0,,"B","BC",,"2.0",,"
"
"BC020","Buoy ","A floating object, other than a lightship, moored or anchored to the bottom and serving as an aid to navigation.",0,,"B","BC",,"2.0",,"
"
"BC030","Leading Light(s)","Two or more lights forming a leading line of a course to be followed.",0,,"B","BC",,"2.0",,"
"
"BC031","Navigation Line","A line generated by the straight line connection between two navigational aids, and which extends towards the area of navigational interest.",0,,"B","BC",,"2.0",,"
"
"BC032","Radar Line","Mid-channel lines corresponding to the lines in harbor radar displays.",0,,"B","BC",,"2.0",,"
"
"BC033","Radar Range","Indicates the coverage of a sea area by a radar surveillance station. Inside this area a vessel may request shore based radar assistance, particularly in poor visibility.",0,,"B","BC",,"2.0",,"
"
"BC035","Lights in Line","Lights marking area limits, cable alignment, alignments for anchoring, etc., not marking direction or course.",0,,"B","BC",,"2.0",,"
"
"BC040","Light ","A specially constructed device which displays a luminous or lighted aid to navigation.  (See also BC050)",0,,"B","BC",,"2.0",,"
"
"BC050","Lighthouse","A distinctive structure exhibiting light(s) designed to serve as an aid to navigation.  (See also BC040)",0,,"B","BC",,"2.0",,"
"
"BC055","Marker","A colored (usually white) mark on a cliff, rock, wall, etc. which is a conspicuous landmark for marine navigation.",0,,"B","BC",,"2.0",,"
"
"BC060","Light Sector ","A sector defined by bearings from seaward within which a light shows a specified character or color, or is obscured.",0,,"B","BC",,"2.0",,"
"
"BC070","Light Vessel/Lightship","A distinctively marked manned vessel anchored or moored at a defined point to serve as an aid to navigation.",0,,"B","BC",,"2.0",,"
"
"BC080","Perches/Stakes","A small marker used to identify channels or to mark dangers such as rocks, shoals, etc.  (See also BD100 and BD140)",0,,"B","BC",,"2.0",,"
"
"BC098","Navigational Mark, Afloat","Complex feature with possible components made of many simple features only.",0,,"B","BC",,"2.0",,"
"
"BC099","Navigational Mark, Fixed","Complex feature with possible components made of many simple features only.",0,,"B","BC","WP","2.0A",,"Capitalization
"
"BC100","Leading Line ","A track which passes through one or more (usually two) clearly defined objects, along which a vessel can safely travel.",0,,"B","BC",,"2.0",,"
"
"BC101","Fog Signal","A warning signal transmitted by a vessel, or aid to navigation, during periods of low visibility.  Also, the device producing such a signal.",0,,"B","BC",,"2.0",,"
"
"BC102","Direction of Lateral Buoyage","A point (symbol) placed in a dataset to indicate the direction defining a lateral buoyage system, such as the International Association of Lighthouse Authorities (IALA) Lateral System where the orientation is not otherwise discernable from the configuration of the shoreline and waterways due to limited geographic extent or other constraints.",0,,"B","BC","US","2.0A","09/17/98 00:00:00","Defines direction of lateral buoyage where it is not apparent by orientation alone.
IT in principle has no objection but suggests that the definition be changed.  
US requests that the IT representative suggest what in the definition needs changing.
Definition changed to reflect discussion during June 1998 WP.  Please review and comment."
"BC110","Topmark","A characteristic shape secured at the top of a buoy or beacon to aid in its identification. (IHO S-32)",0,"Version 2.1: New feature to represent topmarks associated with buoys and beacons.","B","BC","US","2.1","07/11/00 00:00:00","Needed to permit creating buoys and beacons as complex objects and to carry the tmc and col attributes.  Currently using tmc on a buoy or beacon results in confusion when the color of the topmark is different than that of the supporting structure."
"BD000","US-Underwater Danger/Hazard  UK-Underwater Danger","A known underwater object or area, known to be dangerous to surface navigation.",0,,"B","BD",,"2.0",,"
"
"BD001","Mine-Naval","An explosive device used in naval warfare located on or below the sea.",0,,"B","BD","US","2.0A","04/02/98 00:00:00","Approved by FACC WP Dec 1997."
"BD005","Miscellaneous Underwater Feature ","An object or area on the sea floor or underwater that is not identified by any other code in this specification. (Also see BD000)",0,,"B","BD",,"2.0",,"
"
"BD010","Breakers ","Waves which break over off-lying shoals or near the shore.  (See also BD080)",0,,"B","BD",,"2.0",,"
"
"BD020","Crib ","A framework structure submerged or above water used to support pipelines, sewer lines, or outfalls.",0,,"B","BD",,"2.0",,"
"
"BD030","US-Discolored Water  UK-Discoloured Water","An area of sea water having a color distinctly different from the surrounding water.",0,,"B","BD",,"2.0",,"
"
"BD040","Eddies ","Circular movements of water running contrary to the main current.",0,,"B","BD",,"2.0",,"
"
"BD050","US-Foul Ground  UK-Foul","A region of comparatively shallow water strewn with rocks, boulders, coral, wreckage, or other obstructions, making it unsuitable for anchoring, grounding, or ground fishing.",0,,"B","BD",,"2.0",,"
"
"BD060","Kelp/Seaweed","A large seaweed.",0,,"B","BD",,"2.0",,"
"
"BD070","Obstruction (Nautical)","A danger to navigation, the exact nature of which is not specified, or has not been determined.",0,,"B","BD",,"2.0",,"
"
"BD071","Log Boom/Booming Ground","A line of connected, floating timbers as across a river or enclosing a water area to keep logs ready for the sawmill from floating away; also, the enclosed area.",0,,"B","BD",,"2.0",,"
"
"BD072","Pontoon","A broad, flat-bottomed floating structure without sheer, rectangular in shape, resembling a barge.",0,,"B","BD","WP","2.0A","06/24/98 00:00:00","Change ';' to ':' in names section.  Buckley NIMA/SES
"
"BD073","Oil Barrier","A construction to dam oil flow on water.",0,,"B","BD",,"2.0",,"
"
"BD074","Chain/Wire","A physical connection between two independent objects, e.g., between: anchor and mooring buoy; anchor and offshore platform; hulk and bollard on land.",0,,"B","BD",,"2.0",,"
"
"BD079","Fishing Facility","A tool in shallow water for fishing purposes which can be an obstruction to ships in general.",0,,"B","BD",,"2.0",,"
"
"BD080","Overfalls/Tide Rips","Short, breaking waves occurring when a current passes over a shoal or other submarine obstruction or meets a contrary current or wind.  Tide rips occur when one or more of the currents are tidal.  (See also BD010)",0,,"B","BD",,"2.0",,"
"
"BD100","Pile/Piling/Post","A long, heavy timber or section of steel, concrete, etc., forced into the earth to serve as a support, as for a pier.  (See also BC080 and BD140)",0,,"B","BD","WP","2.0A","06/24/98 00:00:00","Remove semicolon and replace with colon in Danish Translation.  Buckley NIMA/SES
"
"BD110","Platform ","A flat surface raised above the sea, as a working stage for conducting offshore operations.",0,,"B","BD",,"2.0",,"
"
"BD111","Offshore Platform Site (cleared)","A structure placed in the sea and used for production loading and discharge or observation/research facilities.",0,,"B","BD",,"2.0",,"
"
"BD112","Production Installation","An installation for the exploitation of natural resources.",0,,"B","BD",,"2.0",,"
"
"BD119","Ledge","A narrow, flat surface or shelf, especially one that projects, as from a wall of rock.",0,,"B","BD",,"2.0",,"
"
"BD120","Reef ","A rocky or coral elevation at or near enough to the surface of the sea to be a danger to surface navigation.",0,,"B","BD",,"2.0",,"
"
"BD121","Pingo","A cone or dome shaped mound or hill of peat or soil, usually with a core of ice. It is found in tundra regions and is produced by the pressure of water or ice accumulating underground and pushing upward.",0,,"B","BD",,"2.0",,"
"
"BD122","Cay","A small insular feature, which may contain scant vegetation;  usually composed of sand or coral.  Often applied to smaller coral shoals.",0,"Version 2.1: New Feature to permit mapping of S-57 attribute value CATLND 020 to FACC.","B","BD","US","2.1","05/20/99 00:00:00","To permit mapping S-57 attribute CATLND 020.
UK:  YES
GE:  NO  The definition is not clear enough. What is the difference to BD120 Reef ?  Or, to put it in other words : From what size on does a „cay“ become a „reef“ ?  In that context, we have also to ask ourselves : Where is the dividing line between a „rock“ (e.g. a skerry) and an island (BA030) ?
US:  This is also a newly proposed addition to S-57 for Edition 3.1 with the above definition.  It will only be collected and populated in the future and I assume as specified.  I would prefer to handle it at the feature level to preclude attribute collisions.
IT:  ???  Need clarification and further discussion."
"BD123","Boom","A floating barrier used to protect a river or harbor mouth or to create a sheltered area for storage purposes.",0,"Version 2.1: New Feature to permit mapping of S-57 attribute value CATOBS 010 to FACC.","B","BD","US","2.1","05/20/99 00:00:00","To permit mapping S-57 attribute CATOBS 010.
UK:  YES
GE:  NO In conflict with BD071 Log Boom.
US:  This is also a newly proposed addition to S-57 for Edition 3.1 with the above definition.  It will only be collected and populated in the future and I assume as specified.  I would prefer to handle it at the feature level to preclude attribute collisions.
IT:  ???  In this case we would introduce a generic feature that is in contrast with a more specific feature (BD071 Log Boom) already existing.
Suggest to wait for the Feature, Attribute, and Attribute Values Definition review before adding new potential problems!  Discuss."
"BD130","Rock ","An isolated rocky formation or a single large stone above or below the water surface.",0,,"B","BD",,"2.0",,"
"
"BD140","US-Snags/Stumps  UK-Snags/Submerged Stumps","A stem or a trunk of a tree below the surface of water.  (See also BC080 and BD100)",0,,"B","BD",,"2.0",,"
"
"BD180","Wreck ","The ruined remains of a vessel.",0,,"B","BD",,"2.0",,"
"
"BD181","Hulk","A permanently moored ship.",0,"Version 2.0 Amendment 1: Replaced old definition of ""An unrigged hull condemned as unfit for the risks of the sea and used as a floating depot in a harbor or roadstead.""","B","BD","WP","2.0A","06/24/98 00:00:00","
"
"BE010","Depth Curve ","A navigational safety line indicating that no sounding of a lesser depth exists seaward of the line, but greater depths may occur on the shallow side of the line.",0,,"B","BE",,"2.0",,"
"
"BE015","Depth Contour","A line connecting points of equal depth at and below the hydrographic datum.",0,,"B","BE",,"2.0",,"
"
"BE019","Depth Area","Water area containing soundings within a defined range of values permanently at or below sounding datum.",0,,"B","BE","IT","2.0A",,"Spelling
"
"BE020","Sounding ","A measured water depth or spot depth which has been reduced to chart datum.",0,,"B","BE",,"2.0",,"
"
"BE021","Drying Line,  Low Water Line-LWL","Delineates an area that covers and uncovers depending on the elevation of the surface above chart datum.",0,,"B","BE",,"2.0",,"
"
"BE022","Sand Line","Delineates an area of sand that covers and uncovers depending on the elevation of the surface above chart datum.",0,,"B","BE",,"2.0",,"
"
"BE023","Mud Line","Delineates an area of mud that covers and uncovers depending on the elevation of the surface above chart datum.",0,,"B","BE",,"2.0",,"
"
"BE029","Bottom Return","An object identified from the bottom background by side-scan sonar.",0,,"B","BE",,"2.0",,"
"
"BE030","Track Swath","Area of horizontal depth coverage recorded by SONAR array systems.",0,,"B","BE",,"2.0",,"
"
"BE040","Track Line","The path of travel with respect to the earth as drawn on the chart and including the sounding information collected along the line.",0,,"B","BE",,"2.0",,"
"
"BE050","Beach Profile","A representation of the three dimensional relief of the bottom along a line or series of connected lines and based on depth contours, soundings, and other measurements of the depth at or below the hydrographic datum.",0,,"B","BE","US","2.0A","04/02/98 00:00:00","Approved by FACC WP Dec 1997."
"BF010","US-Bottom Characteristics  UK-Quality of the Bottom","Designations used on surveys and charts to indicate the consistency, color, and classification of the sea floor, as determined by sampling methods.",0,,"B","BF",,"2.0",,"
"
"BF011","Bottom Feature","A significant configuration of underwater bottom topography.",0,,"B","BF",,"2.0",,"
"
"BG010","US-Current Flow  UK-Current Flow/Tidal Stream Direction","The flow direction of a current.",0,,"B","BG",,"2.0",,"
"
"BG011","Tideway","A natural watercourse in intertidal areas where water flows during the ebb and flow.",0,,"B","BG","DE","2.0A",,"
"
"BG012","Water Turbulence","The disturbance of water caused by the interaction of any combination of waves, currents, eddies, tidal streams, wind, shoal patches and obstructions.",0,,"B","BG",,"2.0",,"
"
"BG020","Tide Gauge","An instrument for measuring the height of the tide.",0,,"B","BG",,"2.0",,"
"
"BG030","US-Tide Data Point  UK-Tidal Stream Observation Station","Place for which tabulated tidal stream data are given.",0,,"B","BG",,"2.0",,"
"
"BG040","US-Current Diagram  UK-Tidal Stream Diagram","A graph or chartlet showing the average speed of the flood and ebb currents at different periods of the current cycle.",0,,"B","BG",,"2.0",,"
"
"BH000","Inland Water","Any known inland waterway body, such as: lake/pond, reservoir, river/stream, etc. requiring separation into individual features due to status/type grouping that is currently indeterminable.",0,,"B","BH","DE","2.0A",,"
"
"BH010","Aqueduct ","A pipe or artificial channel designed to transport water from a remote source, usually by gravity.  (See also BH110)",0,,"B","BH",,"2.0",,"
"
"BH011","Intake","A place where water is taken into a channel or pipe from a river, or other body of water e.g. to supply an aqueduct or water works.",0,"Version 2.1: New Feature","B","BH","IT","2.1","07/09/99 00:00:00","To permit mapping the Italian DB25 (scale 25.000 - Italian database) to FACC.
IT:  It is composed from different structures such as: building, settling basin, pumping station, waste processing facility (using chlorine to clean water), and so on.
UK:  YES …..but…..The definition is very specific and does not indicate the fact that it is composed of different structures (see IT comment).  Suggest more explanation in definition, to ensure correct usage.
GE:  NO  The IT comment is confusing.  We do not understand what features 
are meant.
US:  NO, unless amended.  I have a question about the name ""Spout"".  I suspect that the name in English should be something else, especially when reading the IT comment.  Are we talking about the water processing and distribution infrastructure which will process the water delivered by the aqueduct.  When I read the word ""Spout"" I immediately think of a spigot or small pipe. Going by the IT comment, I would suggest the US-English term ""Water Works"" with a new definition of ""The processing and distribution infrastructure associated with an aqueduct, excluding the pipes and pipelines used for distribution to the ultimate consumer"".
IT:   ---   Further clarification will be provided at FWP7"
"BH015","Bog","A poorly drained or periodically flooded area, excluding tidal waters, with soil rich in plant residue.",0,,"B","BH",,"2.0",,"
"
"BH020","Canal ","A man-made or improved natural waterway used for transportation.",0,,"B","BH",,"2.0",,"
"
"BH030","Ditch","A channel constructed for the purpose of irrigation or drainage.",0,,"B","BH",,"2.0",,"
"
"BH040","Filtration Beds/Aeration Beds","An area containing layers of material used to filter or aerate water.",0,,"B","BH",,"2.0",,"
"
"BH050","Fish Hatchery/Fish Farm/Marine Farm","An enclosure of water used for the breeding and/or rearing of fish.",0,,"B","BH",,"2.0",,"
"
"BH060","Flume","An open, inclined channel which carries water for use in such operations as mining or logging.",0,,"B","BH",,"2.0",,"
"
"BH070","Ford  ","A shallow place in a body of water used as a crossing.  (See also AQ062)",0,,"B","BH",,"2.0",,"
"
"BH075","Fountain  ","An artificial spring with water.",0,,"B","BH",,"2.0",,"
"
"BH077","Hummock","An area of higher elevation within a swamp, bog, or marsh.",0,,"B","BH",,"2.0",,"
"
